"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.08.2021","118.781","119.738","120.157","117.911","11,54M","-0,80%"
"30.08.2021","119.740","120.677","120.684","119.354","6,39M","-0,78%"
"27.08.2021","120.678","118.725","120.678","118.721","7,32M","1,65%"
"26.08.2021","118.724","120.817","120.833","118.719","8,43M","-1,73%"
"25.08.2021","120.818","120.210","120.818","119.226","7,52M","0,50%"
"24.08.2021","120.211","117.474","120.463","117.474","9,18M","2,33%"
"23.08.2021","117.472","118.053","118.445","117.062","7,85M","-0,49%"
"20.08.2021","118.053","117.163","118.308","116.040","8,93M","0,76%"
"19.08.2021","117.165","116.641","117.453","114.801","10,52M","0,45%"
"18.08.2021","116.643","117.904","118.739","116.489","11,75M","-1,07%"
